anime_id,name,genre,type,episodes,rating,members
9919,Blue Exorcist,"Action, Demons, Fantasy, Shounen, Supernatural",TV,25,7.59,1417630
22199,Akame ga Kill!,"Action, Adventure, Drama, Fantasy, Shounen",TV,24,7.53,1408729
23755,The Seven Deadly Sins,"Action, Adventure, Ecchi, Fantasy, Magic, Shounen, Supernatural",TV,24,7.89,1394358
28851,A Silent Voice,"Drama, School, Shounen",Movie,1,9,1387607
31043,ERASED,"Mystery, Psychological, Supernatural, Seinen",TV,12,8.37,1359119
21,One Piece,"Action, Adventure, Comedy, Super Power, Drama, Fantasy, Shounen",TV,Unknown,8.52,1352724
36456,My Hero Academia 3,"Action, Comedy, Super Power, School, Shounen",TV,25,8.25,1333355
6702,Fairy Tail,"Action, Adventure, Comedy, Magic, Fantasy, Shounen",TV,175,7.68,1312470
30831,KonoSuba:God's Blessing on This Wonderful World!,"Adventure, Comedy, Fantasy, Magic, Parody, Supernatural",TV,10,8.15,1290898
269,Bleach,"Action, Adventure, Comedy, Super Power, Supernatural, Shounen",TV,366,7.8,1286382
18679,KILL la KILL,"Action, Comedy, Super Power, Ecchi, School",TV,24,8.11,1283021
2904,Code Geass:Lelouch of the Rebellion R2,"Action, Military, Sci-Fi, Super Power, Drama, Mecha",TV,25,8.91,1268320
24833,Assassination Classroom,"Action, Comedy, School, Shounen",TV,22,8.12,1264954
32182,Mob Psycho 100,"Action, Slice of Life, Comedy, Supernatural",TV,12,8.49,1255830
1,Cowboy Bebop,"Action, Adventure, Comedy, Drama, Sci-Fi, Space",TV,26,8.78,1251960
199,Spirited Away,"Adventure, Supernatural, Drama",Movie,1,8.83,1245727
22535,Parasyte -the maxim-,"Action, Sci-Fi, Horror, Psychological, Drama, Seinen",TV,24,8.4,1243239
27899,Tokyo Ghoul vA,"Action, Mystery, Horror, Psychological, Supernatural, Drama, Seinen",TV,12,7.07,1226168
11111,Another,"Mystery, Horror, Supernatural, Thriller, School",TV,12,7.55,1219780
3588,Soul Eater,"Action, Fantasy, Comedy, Supernatural, Shounen",TV,51,7.88,1218423
28223,Death Parade,"Game, Mystery, Psychological, Drama, Thriller",TV,12,8.2,1213828
2001,Gurren Lagann,"Action, Adventure, Comedy, Mecha, Sci-Fi",TV,27,8.66,1213765
35760,Attack on Titan Season 3,"Action, Military, Mystery, Super Power, Drama, Fantasy, Shounen",TV,12,8.59,1212430
13601,Psycho-Pass,"Action, Sci-Fi, Police, Psychological",TV,22,8.38,1211503
226,Elfen Lied,"Action, Horror, Psychological, Supernatural, Drama, Romance, Seinen",TV,13,7.56,1187921
20583,Haikyu!!,"Comedy, Sports, Drama, School, Shounen",TV,25,8.53,1185274
28171,Food Wars! Shokugeki no Soma,"Ecchi, School, Shounen",TV,24,8.29,1167795
30,Neon Genesis Evangelion,"Action, Sci-Fi, Dementia, Psychological, Drama, Mecha",TV,26,8.32,1160651
9989,anohana:The Flower We Saw That Day,"Slice of Life, Supernatural, Drama",TV,11,8.42,1157747
121,Fullmetal Alchemist,"Action, Adventure, Comedy, Drama, Fantasy, Magic, Military, Shounen",TV,51,8.17,1151621
37779,The Promised Neverland,"Sci-Fi, Mystery, Horror, Psychological, Thriller, Shounen",TV,12,8.65,1133952
6746,Durarara!!,"Action, Mystery, Supernatural",TV,24,8.18,1111256
8074,High School of the Dead,"Action, Horror, Supernatural, Ecchi, Shounen",TV,12,7.15,1108591
2167,Clannad,"Comedy, Drama, Romance, School, Slice of Life, Supernatural",TV,23,8.07,1095634
10087,Fate/Zero,"Action, Supernatural, Magic, Fantasy",TV,13,8.34,1090273
28121,Is It Wrong to Try to Pick Up Girls in a Dungeon?,"Action, Adventure, Comedy, Romance, Fantasy",TV,13,7.64,1075095
38524,Attack on Titan Season 3 Part 2,"Action, Drama, Fantasy, Military, Mystery, Shounen, Super Power",TV,10,9.1,1073626
5081,Bakemonogatari,"Romance, Supernatural, Mystery, Vampire",TV,15,8.36,1063666
15809,The Devil is a Part-Timer!,"Comedy, Demons, Supernatural, Romance, Fantasy",TV,13,7.83,1061216
28999,Charlotte,"Drama, School, Super Power",TV,13,7.77,1057447
29803,Overlord,"Action, Adventure, Fantasy, Game, Magic, Supernatural",TV,13,7.96,1039944
30503,Noragami Aragoto,"Action, Adventure, Comedy, Supernatural, Shounen",TV,13,8.22,1039422
33352,Violet Evergarden,"Slice of Life, Drama, Fantasy",TV,13,8.64,1039300
11617,High School DxD,"Comedy, Demons, Ecchi, Harem, Romance, School",TV,12,7.4,995532
34134,One Punch Man 2nd Season,"Action, Sci-Fi, Comedy, Parody, Super Power, Supernatural",TV,12,7.41,994488
32937,KonoSuba:God's Blessing on This Wonderful World! 2,"Adventure, Comedy, Parody, Supernatural, Magic, Fantasy",TV,10,8.31,990857
35849,DARLING in the FRANXX,"Action, Drama, Mecha, Romance, Sci-Fi",TV,24,7.33,988865
14813,My Teen Romantic Comedy SNAFU,"Slice of Life, Comedy, Drama, Romance, School",TV,13,8.07,971934
9756,Puella Magi Madoka Magica,"Psychological, Drama, Magic, Thriller",TV,12,8.38,971621
14719,JoJo's Bizarre Adventure,"Action, Adventure, Supernatural, Vampire, Shounen",TV,26,8.06,965386
14741,"Love, Chunibyo & Other Delusions!","Slice of Life, Comedy, Drama, Romance, School",TV,12,7.77,955524
38408,My Hero Academia 4,"Action, Comedy, Super Power, School, Shounen",TV,25,8.06,952836
10793,Guilty Crown,"Action, Sci-Fi, Super Power, Drama, Romance, Mecha",TV,22,7.52,950798
6880,Deadman Wonderland,"Action, Horror, Sci-Fi, Shounen, Supernatural",TV,12,7.22,946514
38691,Dr. Stone,"Sci-Fi, Adventure, Shounen",TV,24,8.34,945133
12189,Hyouka,"Mystery, School, Slice of Life",TV,22,8.14,940736
37450,Rascal Does Not Dream of Bunny Girl Senpai,"Comedy, Supernatural, Drama, Romance, School",TV,13,8.38,940033
37999,Kaguya-sama:Love is War,"Comedy, Psychological, Romance, School, Seinen",TV,12,8.43,925543
13759,The Pet Girl of Sakurasou,"Slice of Life, Comedy, Drama, Romance, School",TV,24,8.19,920871
4181,Clannad ~After Story~,"Slice of Life, Comedy, Supernatural, Drama, Romance",TV,24,8.96,915885
35790,The Rising of the Shield Hero,"Action, Adventure, Drama, Fantasy",TV,25,8,907714
30654,Assassination Classroom Second Season,"Action, Comedy, School, Shounen",TV,25,8.54,899476
205,Samurai Champloo,"Action, Adventure, Comedy, Historical, Samurai, Shounen",TV,26,8.5,892196
813,Dragon Ball Z,"Action, Adventure, Comedy, Fantasy, Martial Arts, Shounen, Super Power",TV,291,8.16,888982
26243,Seraph of the End:Vampire Reign,"Action, Military, Supernatural, Drama, Vampire, Shounen",TV,12,7.49,888227
7054,Maid Sama!,"Comedy, Romance, School, Shoujo",TV,26,8.06,883462
164,Princess Mononoke,"Action, Adventure, Fantasy",Movie,1,8.72,876813
4898,Black Butler,"Action, Mystery, Comedy, Historical, Demons, Supernatural, Shounen",TV,24,7.75,875100
28891,Haikyu!! 2nd Season,"Comedy, Sports, Drama, School, Shounen",TV,25,8.73,874150
17265,Log Horizon,"Action, Game, Adventure, Magic, Fantasy",TV,25,8,872925
34599,Made in Abyss,"Sci-Fi, Adventure, Mystery, Drama, Fantasy",TV,13,8.74,862410
34572,Black Clover,"Action, Comedy, Magic, Fantasy, Shounen",TV,170,7.38,860404
18897,Nisekoi:False Love,"Harem, Comedy, Romance, School, Shounen",TV,20,7.65,857824
18153,Beyond the Boundary,"Slice of Life, Supernatural, Fantasy",TV,12,7.78,848484
431,Howl's Moving Castle,"Adventure, Drama, Fantasy, Romance",Movie,1,8.67,847414
34933,Kakegurui:Compulsive Gambler,"Game, Mystery, Psychological, Drama, School, Shounen",TV,12,7.42,843908
37510,Mob Psycho 100 II,"Action, Slice of Life, Comedy, Supernatural",TV,13,8.84,835688
853,Ouran High School Host Club,"Comedy, Harem, Romance, School, Shoujo",TV,26,8.2,827960
23283,Terror in Resonance,"Mystery, Psychological, Thriller",TV,11,8.12,822187
11771,Kuroko's Basketball,"Comedy, School, Shounen, Sports",TV,25,8.15,810207
11741,Fate/Zero Season 2,"Action, Supernatural, Magic, Fantasy",TV,12,8.59,808294
32282,Food Wars! The Second Plate,"Ecchi, School, Shounen",TV,13,8.21,802974
31478,Bungo Stray Dogs,"Action, Comedy, Mystery, Seinen, Super Power, Supernatural",TV,12,7.79,792435
5680,K-ON!,"Music, Slice of Life, Comedy, School",TV,13,7.84,776322
14513,Magi:The Labyrinth of Magic,"Action, Adventure, Fantasy, Magic, Shounen",TV,25,8.07,775824
33206,Miss Kobayashi's Dragon Maid,"Slice of Life, Comedy, Fantasy",TV,13,8.03,772246
14227,My Little Monster,"Slice of Life, Comedy, Romance, School, Shoujo",TV,13,7.55,762563
20785,The Irregular at Magic High School,"Action, Sci-Fi, Supernatural, Magic, Romance, School",TV,26,7.53,760749
2025,Darker than Black,"Action, Sci-Fi, Mystery, Super Power",TV,25,8.12,759790
34577,The Seven Deadly Sins:Revival of the Commandments,"Action, Adventure, Fantasy, Magic, Shounen, Supernatural",TV,24,7.84,757404
918,Gintama,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",TV,201,8.96,754607
37430,That Time I Got Reincarnated as a Slime,"Fantasy, Shounen",TV,24,8.07,747190
849,The Melancholy of Haruhi Suzumiya,"Comedy, Mystery, Parody, School, Sci-Fi, Slice of Life",TV,14,7.88,745062
22297,Fate/stay night [Unlimited Blade Works],"Action, Fantasy, Magic, Supernatural",TV,12,8.22,742718
223,Dragon Ball,"Adventure, Comedy, Fantasy, Martial Arts, Shounen, Super Power",TV,153,8,735546
40028,Attack on Titan Final Season,"Action, Military, Mystery, Super Power, Drama, Fantasy, Shounen",TV,16,9.17,733260
356,Fate/stay night,"Action, Supernatural, Magic, Romance, Fantasy",TV,24,7.34,730980
32935,Haikyu!! 3rd Season,"Comedy, Sports, Drama, School, Shounen",TV,10,8.87,727240
15583,Date A Live,"Sci-Fi, Harem, Comedy, Romance, Mecha, School",TV,12,7.22,725237
523,My Neighbor Totoro,"Adventure, Comedy, Supernatural",Movie,1,8.31,721786
30015,ReLIFE,"Slice of Life, Romance, School",TV,13,8.03,717580
22043,Fairy Tail Series 2,"Action, Adventure, Comedy, Fantasy, Magic, Shounen",TV,102,7.73,716382
2251,Baccano!,"Action, Comedy, Historical, Mystery, Supernatural",TV,13,8.42,714937
23847,My Teen Romantic Comedy SNAFU TOO!,"Slice of Life, Comedy, Drama, Romance, School",TV,13,8.27,713318
38671,Fire Force,"Action, Supernatural, Shounen",TV,24,7.68,711770
20787,Black Bullet,"Action, Sci-Fi, Mystery, Seinen",TV,13,7.17,709300
40748,Jujutsu Kaisen,"Action, Demons, Supernatural, School, Shounen",TV,24,8.54,707976
37349,Goblin Slayer,"Action, Adventure, Fantasy",TV,12,7.46,706484
889,Black Lagoon,"Action, Seinen",TV,12,8.05,704436
36511,Tokyo Ghoul:re,"Action, Psychological, Supernatural, Mystery, Drama, Horror, Seinen",TV,12,6.53,698167
30240,Prison School,"Comedy, Ecchi, Romance, School, Seinen",TV,12,7.71,696018
1689,5 Centimeters Per Second,"Drama, Romance, Slice of Life",Movie,3,7.73,695375
20899,JoJo's Bizarre Adventure:Stardust Crusaders,"Action, Adventure, Supernatural, Drama, Shounen",TV,24,8.12,694803
16592,Danganronpa:The Animation,"Mystery, Horror, Psychological, School",TV,13,7.29,689579
37520,Dororo,"Action, Adventure, Demons, Historical, Samurai, Shounen, Supernatural",TV,24,8.19,688715
17895,Golden Time,"Comedy, Drama, Romance",TV,24,7.78,688649
23289,Monthly Girls' Nozaki-kun,"Comedy, Romance, School",TV,12,7.96,681194
14345,BTOOOM!,"Action, Sci-Fi, Psychological, Seinen",TV,12,7.39,678842
777,Hellsing Ultimate,"Action, Military, Horror, Supernatural, Vampire, Seinen",OVA,10,8.4,676023
37521,Vinland Saga,"Action, Adventure, Drama, Historical, Seinen",TV,24,8.71,671949
15451,High School DxD New,"Action, Harem, Comedy, Demons, Romance, Ecchi, School",TV,12,7.54,668482
35788,Food Wars! The Third Plate,"Ecchi, School, Shounen",TV,12,8.14,659490
40591,Kaguya-sama:Love is War Season 2,"Comedy, Psychological, Romance, School, Seinen",TV,12,8.74,654744
36474,Sword Art Online:Alicization,"Action, Game, Adventure, Romance, Fantasy",TV,24,7.57,651688
1195,The Familiar of Zero,"Action, Adventure, Harem, Comedy, Magic, Romance, Ecchi, Fantasy, School",TV,13,7.33,651195
35120,Devilman:Crybaby,"Action, Dementia, Demons, Horror, Supernatural",ONA,10,7.84,650309
6045,Kimi ni Todoke:From Me to You,"Slice of Life, Drama, Romance, School, Shoujo",TV,25,8.02,648101
10165,Nichijou - My Ordinary Life,"Slice of Life, Comedy, School, Shounen",TV,26,8.48,647924
35073,Overlord II,"Action, Game, Adventure, Supernatural, Magic, Fantasy",TV,13,7.78,646042
30296,Chivalry of a Failed Knight,"Action, Romance, Ecchi, Fantasy, School",TV,12,7.53,644218
27775,Plastic Memories,"Sci-Fi, Drama, Romance",TV,13,7.94,643043
2966,Spice and Wolf,"Adventure, Fantasy, Historical, Romance",TV,13,8.27,641448
26055,JoJo's Bizarre Adventure:Stardust Crusaders - Battle in Egypt,"Action, Adventure, Supernatural, Drama, Shounen",TV,24,8.45,641298
18115,Magi:The Kingdom of Magic,"Action, Adventure, Magic, Fantasy, Shounen",TV,25,8.28,639860
934,When They Cry,"Mystery, Dementia, Horror, Psychological, Supernatural, Thriller",TV,26,7.95,638491
10719,Haganai:I don't have many friends,"Ecchi, Slice of Life, Comedy, Harem, Romance, School",TV,12,7.27,637856
4654,A Certain Magical Index,"Action, Magic, Sci-Fi, Super Power",TV,24,7.44,635900
11887,Kokoro Connect,"Slice of Life, Comedy, Supernatural, Drama, Romance, School",TV,13,7.82,632426
24439,Blood Blockade Battlefront,"Action, Comedy, Super Power, Supernatural, Vampire, Fantasy, Shounen",TV,12,7.65,625476
31933,JoJo's Bizarre Adventure:Diamond is Unbreakable,"Action, Adventure, Comedy, Supernatural, Drama, Shounen",TV,39,8.51,625022
35062,The Ancient Magus' Bride,"Slice of Life, Magic, Fantasy, Shounen",TV,24,8.1,622300
457,Mushi-Shi,"Adventure, Slice of Life, Mystery, Historical, Supernatural, Fantasy, Seinen",TV,26,8.69,620736
2236,The Girl Who Leapt Through Time,"Adventure, Drama, Romance, Sci-Fi",Movie,1,8.2,619843
13125,From the New World,"Drama, Horror, Mystery, Psychological, Sci-Fi, Supernatural",TV,25,8.35,619318
12355,Wolf Children,"Fantasy, Slice of Life",Movie,1,8.64,616049
39587,Re:ZERO -Starting Life in Another World- Season 2,"Psychological, Drama, Thriller, Fantasy",TV,13,8.5,614588
19,Monster,"Drama, Horror, Mystery, Police, Psychological, Seinen, Thriller",TV,74,8.76,614100
227,FLCL,"Action, Sci-Fi, Comedy, Parody, Dementia, Psychological, Mecha",OVA,6,8.03,610114
33674,No Game No Life: Zero,"Game, Supernatural, Drama, Romance, Fantasy",Movie,1,8.32,608820
28701,Fate/stay night [Unlimited Blade Works] Season 2,"Action, Fantasy, Magic, Supernatural",TV,13,8.33,605173
25157,Trinity Seven,"Action, Harem, Comedy, Supernatural, Magic, Romance, Ecchi, Fantasy, School, Shounen",TV,12,7.17,602856
28907,GATE,"Action, Adventure, Fantasy, Military",TV,12,7.74,601037
32615,The Saga of Tanya the Evil,"Action, Military, Magic",TV,12,8,600880
11759,Accel World,"Action, Game, Sci-Fi, Romance, School",TV,24,7.32,598685
14467,K,"Action, Mystery, Super Power, Supernatural",TV,13,7.51,597674
11843,Daily Lives of High School Boys,"Slice of Life, Comedy, School",TV,12,8.28,593890
28623,Kabaneri of the Iron Fortress,"Action, Horror, Supernatural, Drama, Fantasy",TV,12,7.26,592987
21995,Blue Spring Ride,"Comedy, Drama, Romance, School, Shoujo, Slice of Life",TV,12,7.67,591908
33255,The Disastrous Life of Saiki K.,"Comedy, School, Shounen, Slice of Life, Supernatural",TV,120,8.45,591140
30484,Steins;Gate 0,"Sci-Fi, Thriller",TV,23,8.51,590847
245,Great Teacher Onizuka,"Slice of Life, Comedy, Drama, School, Shounen",TV,43,8.7,589324
249,InuYasha,"Action, Adventure, Comedy, Historical, Demons, Supernatural, Magic, Romance, Fantasy, Shounen",TV,167,7.85,588434
16894,Kuroko's Basketball 2,"Comedy, Sports, School, Shounen",TV,25,8.28,588404
25013,Yona of the Dawn,"Action, Adventure, Comedy, Fantasy, Romance, Shoujo",TV,24,8.05,586957
18507,Free! - Iwatobi Swim Club,"Slice of Life, Comedy, Sports, Drama, School",TV,12,7.39,585161
32995,Yuri!!! On ICE,"Comedy, Sports",TV,12,7.92,580801
35507,Classroom of the Elite,"Slice of Life, Psychological, Drama, School",TV,12,7.85,577290
16782,The Garden of Words,"Slice of Life, Psychological, Drama, Romance",Movie,1,8.05,574997
11597,Nisemonogatari,"Mystery, Comedy, Supernatural, Ecchi",TV,11,8.18,572431
32,Neon Genesis Evangelion:The End of Evangelion,"Sci-Fi, Dementia, Psychological, Drama, Mecha",Movie,1,8.51,572080
24703,High School DxD BorN,"Action, Comedy, Demons, Ecchi, Harem, Romance, School",TV,12,7.45,571266
10408,Hotarubi no Mori e,"Drama, Romance, Shoujo, Supernatural",Movie,1,8.38,567617
1482,D.Gray-man,"Action, Adventure, Comedy, Super Power, Demons, Shounen",TV,103,8.05,567566
47,AKIRA,"Action, Military, Sci-Fi, Adventure, Horror, Supernatural, Seinen",Movie,1,8.17,566538
8769,OreImo,"Slice of Life, Comedy",TV,12,7.1,565710
28677,Yamada-kun and the Seven Witches,"Harem, Mystery, Comedy, Supernatural, Romance, School, Shounen",TV,12,7.65,564446
6,Trigun,"Action, Sci-Fi, Adventure, Comedy, Drama, Shounen",TV,26,8.24,558913
29786,SHIMONETA:A Boring World Where the Concept of Dirty Jokes Doesn't Exist,"Comedy, Ecchi, School",TV,12,7.33,557478
1210,Welcome to the N.H.K.,"Comedy, Psychological, Drama, Romance",TV,24,8.33,550365
270,Hellsing,"Action, Horror, Supernatural, Vampire, Seinen",TV,13,7.5,549632
37675,Overlord III,"Action, Magic, Fantasy, Game, Supernatural",TV,13,7.95,549484
33487,Masamune-kun's Revenge,"Comedy, Harem, Romance, School, Shounen",TV,12,6.83,547027
2993,Rosario + Vampire,"Harem, Comedy, Romance, Ecchi, Vampire, Fantasy, School, Shounen",TV,13,6.84,545750
32729,Orange,"Sci-Fi, Drama, Romance, School, Shoujo",TV,13,7.62,545748
1818,Claymore,"Action, Adventure, Super Power, Demons, Supernatural, Fantasy, Shounen",TV,26,7.78,544135
37991,JoJo's Bizarre Adventure:Golden Wind,"Action, Adventure, Shounen",TV,39,8.61,542642
32542,Haven't You Heard? I'm Sakamoto,"Slice of Life, Comedy, School, Seinen",TV,12,7.59,541911
31798,Kiznaiver,"Sci-Fi, Drama, Romance",TV,12,7.43,540306
30307,Monster Musume:Everyday Life with Monster Girls,"Harem, Comedy, Romance, Ecchi, Fantasy, Seinen",TV,12,7.08,539332
31859,Grimgar:Ashes and Illusions,"Action, Adventure, Drama, Fantasy",TV,12,7.69,537777
28927,Seraph of the End:Battle in Nagoya,"Action, Military, Supernatural, Drama, Vampire, Shounen",TV,12,7.64,537525
30694,Dragon Ball Super,"Action, Adventure, Comedy, Super Power, Martial Arts, Fantasy, Shounen",TV,131,7.42,536891
11633,Blood Lad,"Action, Comedy, Demons, Seinen, Supernatural, Vampire",TV,10,7.33,535363
40221,Tower of God,"Action, Adventure, Mystery, Drama, Fantasy",TV,13,7.66,534804
1887,Lucky?Star,"Slice of Life, Comedy, Parody, School",TV,24,7.77,532794
6347,Baka & Test - Summon the Beasts,"Comedy, Romance, School, Super Power",TV,13,7.6,529741
34566,Boruto:Naruto Next Generations,"Action, Adventure, Super Power, Martial Arts, Shounen",TV,Unknown,5.81,529732
35968,Wotakoi:Love is Hard for Otaku,"Comedy, Romance, Slice of Life",TV,11,7.96,528912
33506,Blue Exorcist:Kyoto Saga,"Action, Demons, Supernatural, Fantasy, Shounen",TV,12,7.43,527247
8841,Is This a Zombie?,"Action, Comedy, Ecchi, Harem, Magic, Supernatural",TV,12,7.43,526740
18671,"Love, Chunibyo & Other Delusions!:Heart Throb","Comedy, Drama, Romance, School, Slice of Life",TV,12,7.56,522620
2476,School Days,"Harem, Drama, Romance, School",TV,12,5.68,522307
32901,Eromanga Sensei,"Comedy, Drama, Romance, Ecchi",TV,12,6.49,513293
8525,The World God Only Knows,"Comedy, Harem, Romance, Shounen, Supernatural",TV,12,7.73,510719
16742,"WataMote:No Matter How I Look At It, It's You Guys' Fault I'm Unpopular!","Slice of Life, Comedy, School",TV,12,7.04,510608
7791,K-ON! Season 2,"Comedy, Music, School, Slice of Life",TV,26,8.15,509434
17074,Monogatari Series:Second Season,"Mystery, Comedy, Supernatural, Romance, Vampire",TV,26,8.78,509401
31765,Sword Art Online the Movie -Ordinal Scale-,"Action, Game, Adventure, Romance, Fantasy",Movie,1,7.65,508865
23281,Psycho-Pass 2,"Action, Sci-Fi, Police, Psychological",TV,11,7.42,508172
24415,Kuroko's Basketball 3,"Comedy, Sports, School, Shounen",TV,25,8.34,506465
9041,Infinite Stratos,"Action, Sci-Fi, Harem, Comedy, Ecchi, Mecha",TV,12,6.75,503818
22789,Barakamon,"Comedy, Slice of Life",TV,12,8.41,503396
37347,Is It Wrong to Try to Pick Up Girls in a Dungeon? II,"Action, Adventure, Comedy, Romance, Fantasy",TV,12,7.24,500644
27787,Nisekoi:False Love,"Comedy, Harem, Romance, School, Shounen",TV,12,7.39,500350
18277,Strike the Blood,"Action, Harem, Supernatural, Ecchi, Vampire, Fantasy, School",TV,24,7.14,499734
22147,Amagi Brilliant Park,"Comedy, Drama, Fantasy, Magic",TV,13,7.52,496580
28825,Himouto! Umaru-chan,"Comedy, School, Seinen, Slice of Life",TV,12,7.17,494283
7674,Bakuman.,"Comedy, Drama, Romance, Shounen",TV,25,8.23,490554
28497,Rokka:Braves of the Six Flowers,"Action, Adventure, Fantasy, Magic, Mystery",TV,12,7.35,486940
7311,The Disappearance of Haruhi Suzumiya,"Comedy, Mystery, Romance, School, Sci-Fi, Supernatural",Movie,1,8.65,486871
23321,Log Horizon 2,"Action, Game, Adventure, Magic, Fantasy",TV,25,7.62,485345
34902,Tsuredure Children,"Comedy, Romance, School, Shounen",TV,12,7.67,483639
3455,To LOVE Ru,"Sci-Fi, Harem, Comedy, Romance, Ecchi, School, Shounen",TV,26,7.07,483606
39617,The Promised Neverland Season 2,"Sci-Fi, Mystery, Psychological, Thriller, Shounen",TV,11,7.49,482725
14075,Blast of Tempest,"Action, Mystery, Psychological, Drama, Magic, Fantasy, Shounen",TV,24,7.99,482114
339,Serial Experiments Lain,"Dementia, Drama, Mystery, Psychological, Sci-Fi, Supernatural",TV,13,8.03,480696
32867,Bungo Stray Dogs 2,"Action, Mystery, Seinen, Super Power, Supernatural",TV,12,8.2,480682
30544,The Asterisk War,"Action, Comedy, Ecchi, Fantasy, Harem, Romance, School, Sci-Fi, Supernatural",TV,12,6.9,480569
28297,My Love Story!!,"Comedy, Romance, Shoujo",TV,24,7.96,480559
41353,The God of High School,"Action, Sci-Fi, Adventure, Comedy, Supernatural, Martial Arts, Fantasy",TV,13,7.07,480227
3457,Vampire Knight,"Drama, Mystery, Romance, Shoujo, Supernatural, Vampire",TV,13,7.03,479832
32951,Akashic Records of Bastard Magic Instructor,"Action, Magic, Fantasy, School",TV,12,7.19,478935
790,Ergo Proxy,"Psychological, Mystery, Sci-Fi",TV,23,7.92,478552
23233,The Testament of Sister New Devil,"Action, Ecchi, Fantasy, Romance, Harem, Demons",TV,12,6.8,476324
31722,The Seven Deadly Sins:Signs of Holy War,"Action, Adventure, Ecchi, Fantasy, Magic, Shounen, Supernatural",TV,4,7.12,475981
14289,Say "I Love You".,"Drama, Romance, School, Shoujo",TV,13,7.49,475603
392,Yu Yu Hakusho:Ghost Files,"Action, Comedy, Demons, Supernatural, Martial Arts, Shounen",TV,112,8.45,475397
38826,Weathering With You,"Slice of Life, Drama, Romance, Fantasy",Movie,1,8.41,475388
36949,Food Wars! The Third Plate:Totsuki Train Arc,"Ecchi, School, Shounen",TV,12,8.08,474921
225,Dragon Ball GT,"Action, Sci-Fi, Adventure, Comedy, Super Power, Magic, Fantasy, Shounen",TV,64,6.48,472177
37799,Tokyo Ghoul:re 2nd Season,"Action, Drama, Horror, Mystery, Psychological, Seinen, Supernatural",TV,12,6.33,471661
38883,Haikyuu!!: To the Top,"Comedy, Sports, Drama, School, Shounen",TV,13,8.39,470208
43,Ghost in the Shell,"Action, Mecha, Police, Psychological, Sci-Fi, Seinen",Movie,1,8.29,468279
32998,91 Days,"Action, Drama, Historical",TV,12,7.84,466565
16067,A Lull in the Sea,"Drama, Fantasy, Romance",TV,26,8.09,466251
7724,Shiki,"Horror, Mystery, Supernatural, Thriller, Vampire",TV,22,7.79,465342
527,Pok?mon,"Action, Adventure, Comedy, Kids, Fantasy",TV,276,7.34,464779
5630,Eden of The East,"Action, Sci-Fi, Mystery, Drama, Romance, Thriller",TV,11,7.83,464410
11499,Sankarea:Undying Love,"Comedy, Ecchi, Horror, Romance, Shounen, Supernatural",TV,12,7.36,464331
